iteration,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
0,1.5863710273988545,1.5191092803142965,1.5531043163500726,30.513263702392578,30.975914001464844,30.749961853027344,168189.11493553544,178854.9420711822,347044.0570067176
1,1.5935024535283446,1.511577995494008,1.5530804167501628,29.93514633178711,30.330886840820312,30.137611389160156,165002.51556099782,175130.54827243974,340133.0638334376
2,1.5593794933520257,1.4996704794466496,1.529816301073879,29.75697898864746,29.92599868774414,29.843448638916016,164020.46590473547,172792.70684350122,336813.1727482367
3,1.5878739445470273,1.5044546891003847,1.5467268000356853,30.768733978271484,30.190143585205078,30.47272300720215,169597.26212365064,174317.87917493415,343915.1412985848
4,1.579590741544962,1.5024989051744342,1.5415267986245453,30.73812484741211,30.915027618408203,30.828630447387695,169428.54543559876,178503.37869257797,347931.9241281768
5,1.5729276556521654,1.4991972367279232,1.5365048185922205,29.266319274902344,29.47158432006836,29.371335983276367,161315.95602722565,170168.9373833645,331484.8934105902
6,1.5741929556243122,1.506488146726042,1.540712526999414,29.27632713317871,30.58633804321289,29.946535110473633,161371.0979558342,176605.5191911621,337976.6171469963
7,1.5613892045803368,1.521886842790991,1.541764569003135,30.025726318359375,30.852062225341797,30.448484420776367,165501.7974655969,178139.79991989458,343641.59738549154
8,1.575256028212607,1.5209520007483661,1.5483420146629214,30.465463638305664,30.836355209350586,30.65522003173828,167925.645949152,178049.11932294804,345974.7652721001
9,1.5486341719515622,1.4925595824606717,1.5208553299307823,30.52814292907715,30.892642974853516,30.714622497558594,168271.10686452346,178374.12373928033,346645.23060380376
