iteration,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
0,1.8902538274414837,1.7908731629140675,1.8412342160008848,39.30793762207031,36.78589630126953,38.02863693237305,440877.8008092887,424729.9753753399,865607.7761846285
1,1.9236300783231854,1.8942634449340403,1.9090032167732716,36.64697265625,37.71791076660156,37.19020462036133,411032.42247397685,435491.01043214084,846523.4329061179
2,2.1705114133656025,1.8964114980772138,2.0380745381116867,44.57666778564453,40.49369430541992,42.505584716796875,499971.9265937487,467540.17027971,967512.0968734587
3,1.8981955419294536,1.8162592872977257,1.8576792855747044,38.41115951538086,37.283203125,37.83900451660156,430819.5812864883,430471.84386544797,861291.4251519364
4,2.0312796980142593,1.9526854041032493,1.9923699237406254,38.10382080078125,37.466957092285156,37.78077697753906,427372.48042043694,432593.53191993834,859966.0123403752
5,1.870465571526438,1.7905108388513327,1.8309247558936477,38.3032341003418,37.18830108642578,37.73768997192383,429609.10704438586,429376.12632520887,858985.2333695948
6,1.7932609780691564,1.7336382172070444,1.7637017690576613,35.37678909301758,36.14777374267578,35.76787567138672,396786.1037304274,417362.2086757795,814148.3124062069
7,1.917530165053904,1.8516568928025663,1.8848813199438155,34.73342514038086,35.302337646484375,35.02200698852539,389570.1330456214,407600.81536469393,797170.9484103153
8,1.811004745773971,1.7865919172763824,1.7988396962173283,34.012550354003906,35.1977424621582,34.61373519897461,381484.75344805233,406393.1170280606,787877.870476113
9,1.8679547347128391,1.8218154846690595,1.8450291967019439,37.2803840637207,36.8620719909668,37.06819534301758,418136.7698483745,425609.47790244356,843746.2477508179
