iteration,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
0,1.924723744392395,1.865391731262207,1.8952900171279907,35.60675048828125,35.30708312988281,35.45507049560547,470578.8279519061,478269.7372276021,948848.5651795081
1,1.9096778631210327,1.8595470190048218,1.8847792148590088,33.866546630859375,33.82140350341797,33.84369659423828,447580.3136337972,458144.75586016907,905725.0694939665
2,1.8923876285552979,1.8524442911148071,1.8725224733352661,34.74329376220703,34.38743591308594,34.56317138671875,459167.39151766594,465812.1562625922,924979.5477802581
3,1.9047592878341675,1.8673465251922607,1.886145830154419,35.724483489990234,35.48249053955078,35.60199737548828,472134.7805664936,480645.80618796643,952780.5867544601
4,5.113146781921387,4.917079448699951,5.016071319580078,100.0,100.0,100.0,1321600.0,1354600.0,2676200.0
5,5.113146781921387,4.917079448699951,5.016071319580078,100.0,100.0,100.0,1321600.0,1354600.0,2676200.0
6,1.8909668922424316,1.8753666877746582,1.8831830024719238,34.87302017211914,34.68814468383789,34.77944564819336,460881.8468861903,469885.6096666903,930767.4565528805
7,1.9139883518218994,1.8773016929626465,1.8957338333129883,35.31555938720703,34.93631362915039,35.123600006103516,466730.48900623305,473247.26417849417,939977.7531847273
8,1.932996392250061,1.9015026092529297,1.9173141717910767,34.041751861572266,33.77824401855469,33.90837478637695,449895.82803229534,457560.10026190814,907455.9282942035
9,1.884975790977478,1.8310385942459106,1.8582028150558472,34.09794998168945,33.63205337524414,33.86212921142578,450638.4693280312,455579.8166886129,906218.286016644
