iteration,rsme_in,rsme_out,rsme_tot,mape_in,mape_out,mape_tot,ape_in,ape_out,ape_tot
0,1.8393755625002086,1.7327091968618333,1.7868382669985294,38.025882720947266,37.98365783691406,38.004459381103516,426498.27766872785,438559.2853024841,865057.5629712121
1,1.7899268306791782,1.66989430738613,1.7309513506479561,33.40657424926758,33.43492126464844,33.42095184326172,374688.1451873637,386039.59980893484,760727.7449962985
2,1.7829375765286386,1.6340000191703439,1.7100911363959312,32.06086730957031,32.02642822265625,32.043399810791016,359594.7161755083,369777.1351698101,729371.8513453184
3,1.788611127063632,1.7470072857104242,1.7679315386340022,35.819725036621094,36.84741973876953,36.34101867675781,401754.0200472542,425440.271552552,827194.291599806
4,1.802913658786565,1.741353957913816,1.7724010702222586,35.792724609375,34.884403228759766,35.33197784423828,401451.19377427537,402775.3042239837,804226.497998259
5,1.8059266936033964,1.7798776617273688,1.7929495172575116,34.958099365234375,34.95443344116211,34.956241607666016,392090.0514573941,403583.9001955518,795673.9516529458
6,1.7857630914077163,1.7869858010672033,1.7863745228387415,37.56785583496094,38.61824417114258,38.10066223144531,421361.0249709181,445886.2214790877,867247.2464500057
7,1.7563685751520097,1.7014273782260716,1.7291161371394992,36.30830383300781,36.16911315917969,36.237701416015625,407233.95628346415,417608.56985880074,824842.526142265
8,1.7798919095657766,1.7231879639439285,1.7517694341950119,38.09844970703125,37.162052154541016,37.62346267700195,427312.1823056575,429073.0683458691,856385.2506515265
9,1.749308847822249,1.6728570917621255,1.7115097921341658,34.03376388549805,31.731159210205078,32.86577224731445,381722.71081453445,366367.98245854396,748090.6932730785
